pred,label1,label1_occurrence,label2,label2_occurrence,label3,label3_occurrence,label1_full,label2_full,label3_full,index,Unnamed: 11
72,peg,100.0,cas,13.8,fic,8.3,pegava,,,Eu sonhei que pegava o Tyler Joseph .,
98,ganh,100.0,gent,6.4,aniversari,4.3,ganhava,,,Sonhei que ganhava uma cartinha de amor. Quero.,
217,trabalh,100.0,faz,10.4,fic,8.2,trabalhando,,,"Sonhei que estava trabalhando em uma pizzaria falida, pior experiência.",
534,cabel,100.0,aaron,0.0,abacat,0.0,cabelo,,,Sonhei que eu tinha cabelo grande e liso.,
179,buqu,100.0,flor,100.0,ganh,80.0,buque,flores,ganhando,Sonhei que estava ganhando um buquê de flores.,
344,lev,100.0,tir,100.0,assalt,10.7,levei,tiro,,"Sonhei que levei um tiro, pode ser verdade.",
454,cont,79.6,vou,37.0,mil,11.1,conta,,,Sonhei que essa conta aqui era suspensa...,
635,cinem,76.0,assist,64.0,ia,16.0,cinema,,ia,Sonhei que eu ia ao cinema.,
91,eleico,100.0,lul,100.0,ganh,70.0,eleicoes,lula,ganhava,Sonhei que o Lula ganhava as eleições no primeiro turno.,
121,papa,100.0,filh,13.6,vai,13.6,papai,,,"Que loucura, sonhei que iria ser papai do ano .",
34,program,100.0,faz,20.0,acontec,13.3,programa,,,Sonhei que estava no programa do Gugu.,
35,burg,100.0,king,100.0,com,66.7,burger,king,comia,Sonhei que comia um Burger King.,
166,mat,100.0,quer,51.6,car,9.5,matei,,,Sonhei que estava abraçadinha com ele. Me matei.,
136,grav,100.0,aparec,1.1,gent,1.1,gravida,,,Sonhei que estava grávida .,
616,anitt,100.0,cham,14.3,peg,14.3,anitta,,peguei,Sonhei que peguei a Anitta.,
184,corp,100.0,escond,19.2,mat,19.2,corpo,,,"Acordei, sonhei que tatuava o corpo inteirinho, quero .",
25,coloc,100.0,piercing,100.0,nariz,16.7,colocado,piercing,,Sonhei que tinha colocado piercing na xereca.,
452,nov,100.0,york,100.0,gent,14.3,nova,york,gente,"Gente, sonhei que morava em Nova York.",
430,fug,100.0,polic,100.0,amig,16.7,fugindo,policia,,Sonhei que estava fugindo da polícia .,
366,volt,100.0,cas,6.0,fic,6.0,voltaram,,,Sonhei que a Luísa e o Whin voltaram.,
36,troc,100.0,ide,25.0,gent,13.2,trocado,,,Sonhei que tinha trocado o Jetta por uma Tracker .,
190,com,100.0,vontad,14.4,quer,5.6,comendo,,,Sonhei que estava comendo Lego.,
324,irma,100.0,cas,10.5,fal,10.5,irmao,,,Sonhei que meu irmão está namorando.,
217,trabalh,100.0,faz,10.4,fic,8.2,trabalhando,,,Sonhei que estava trabalhando na RAI .,
473,corinthians,100.0,jog,54.5,ganh,18.2,corinthians,,,Sonhei que o Corinthians venceria o clássico amanhã .,
37,jad,100.0,picon,100.0,amig,23.8,jade,picon,amiga,Sonhei que era amiga da Jade Picon.,
499,show,100.0,faz,11.2,chor,6.1,show,,,Sonhei que andava de skate no show do Sidoka .,
89,lul,100.0,vot,100.0,eleica,22.2,lula,votei,,Sonhei que votei no Lula.,
227,pra,100.0,ia,13.3,amig,6.7,praia,,,"Sonhei que estava na praia, queria...",
100,cabel,100.0,pint,100.0,quer,23.5,cabelo,pintei,,Sonhei que pintei meu cabelo de rosa bebê.,
107,elon,100.0,musk,94.1,car,17.6,elon,musk,,Eu sonhei que estava tomando uma com o Elon Musk.,
344,lev,100.0,tir,100.0,assalt,10.7,levava,tiro,assaltado,Sonhei que era assaltado e levava um tiro? Meu Deus.,
147,beij,100.0,menin,7.6,algu,6.4,beijando,,,Sonhei que estava beijando um da equipe .,
38,conhec,100.0,lou,100.0,real,18.2,conhecia,louis,,Eu sonhei que conhecia o Louis.,
569,volt,100.0,cas,12.5,aaron,0.0,voltei,,,Sonhei que voltei a ser morena.,
358,tatuagens,100.0,faz,61.5,quer,15.4,tatuagens,fazia,,"Sonhei que eu fazia três tatuagens, que sonho bom.",
268,granda,100.0,cabel,38.5,cabela,15.4,grandao,,,Meu Deus . Sonhei que sofri um exposed grandão.,
39,dougi,100.0,encontr,33.3,beij,16.7,dougie,,,"Sonhei que namorava com o Dougie... Dougie Poynter, solteiro?",
